Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
P61026,0.04605332,0.042628028,0.058685621,0.090399981,0.109861438,0.047492762,0.040753098,0.053807022,0.074562338,0.084456926,0.041878686,0.044717235,0.060919151,0.086089218,0.117695179,unknown
Q6IQ22,0.069479321,0.053707003,0.066190889,0.087700049,0.08265864,0.065020105,0.048629767,0.055380649,0.067393662,0.071033969,0.052578444,0.051611108,0.069997537,0.083189651,0.075429208,unknown
P51153,0.029574511,0.033379007,0.046048192,0.084065783,0.154319847,0.03330874,0.030877658,0.041285955,0.076140128,0.142296761,0.030371183,0.03615869,0.043152613,0.080602587,0.138418346,unknown
Q9NP72;Q9NP72-2;Q9NP72-3,0.074585628,0.054711437,0.071716678,0.075080274,0.079899544,0.067511476,0.053337027,0.063883597,0.060293877,0.063268822,0.064443254,0.057398781,0.065525117,0.071504686,0.076839802,unknown
P62820;P62820-2,0.071066885,0.058736357,0.065083189,0.075278981,0.07669934,0.069191033,0.059890136,0.061369267,0.063651636,0.064343623,0.059713116,0.06149661,0.0646151,0.070954935,0.077909793,unknown
Q9H0U4,0.067226847,0.058597972,0.062557883,0.07513627,0.081921346,0.067376327,0.058946974,0.060408625,0.063329328,0.067584298,0.0572923,0.058915779,0.064941758,0.073465998,0.082298295,unknown
Q9NX57,0.040097779,0.036560351,0.055922564,0.099823077,0.145377857,0.038743672,0.030094142,0.042983903,0.086308024,0.091754621,0.032877786,0.035358667,0.050197654,0.077667337,0.136232567,unknown
Q9UL25,0.059221606,0.039310867,0.049757661,0.080336149,0.120646576,0.058975894,0.038400432,0.046858009,0.073763192,0.097003734,0.051449176,0.040290621,0.047886658,0.077099184,0.119000242,unknown
Q9UL26,0.046890467,0.038678301,0.048746041,0.084469917,0.143844921,0.043850089,0.032726194,0.048299984,0.080374508,0.1120423,0.041102401,0.037955284,0.053535254,0.080908203,0.106576137,unknown
Q9ULC3,0.032178861,0.035238434,0.04883576,0.091833778,0.156859603,0.029609882,0.032744931,0.041583542,0.078592867,0.118483324,0.030205304,0.038526299,0.042210645,0.077805494,0.145291277,unknown
Q13636,0.035372018,0.032184765,0.051345892,0.101037658,0.160513695,0.033847049,0.027963345,0.046705275,0.086930001,0.109045442,0.029735752,0.032613932,0.049134348,0.084895199,0.118675629,unknown
Q13637,0.039888102,0.029229795,0.043580093,0.087654961,0.141533985,0.038025124,0.029197208,0.034485053,0.07992124,0.140873061,0.038697981,0.027128609,0.038457019,0.08496996,0.146357807,unknown
