Protein_ID,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q32NY6;Q60632;B8JJI9;F7CII1,0.190216891,0.033814766,0.012283893,0.007359368,0.006474639,0.005455928,0.161470241,0.02065321,0.005218209,0.001274915,0.000720786,0.00039762,0.148154069,0.027209255,0.001229774,0.000616032,0.000104149,0.000607609,0.187720992,0.00645994,0.000666996,0.000391486,0.00023646,4.79E-05,0.169387583,0.00916727,0.001773219,0.000328424,0,0.000558341,unknown
Q9JHP7;Q9JHP7-2;Q9JHP7-3,0.02661713,0.027018397,0.05013744,0.060018547,0.030625921,0.012367101,0.015878382,0.037633738,0.053535404,0.071721267,0.040394487,0.015564043,0.008272934,0.022744164,0.043033381,0.067940663,0.063494126,0.020855027,0.001114467,0.022899394,0.044471578,0.047301405,0.041028598,0.019329901,0.001870122,0.017547871,0.035438022,0.036074462,0.040731334,0.024340696,ER
Q8BK72,0.002783462,0.079189924,0.091446263,0.01542153,4.82E-05,0.000234669,0.004552259,0.096322728,0.117108705,0.014184866,0,0,0.003128224,0.043216381,0.143185596,0.009667702,1.92E-05,0,0.002437765,0.053333626,0.098699128,0.020763917,3.76E-05,0,0.003420545,0.084464127,0.104929239,0.011315472,8.89E-05,0,Mitochondrion
P03975,0.014511485,0.023551119,0.047620488,0.075338973,0.045461987,0.011842035,0.01265799,0.014845688,0.039581897,0.066903094,0.030399927,0.009886872,0.010598551,0.012537552,0.027243511,0.074828024,0.065411956,0.008657465,0.009352982,0.017732031,0.032878554,0.071767541,0.05526596,0.016135053,0.0124119,0.019987508,0.032625686,0.062200273,0.053237803,0.024526094,unknown
Q8R3F5,0.001867283,0.105911565,0.172775253,0.027792598,6.46E-05,9.53E-05,0.001108334,0.059143522,0.083073457,0.013010371,0,0,0.001321025,0.054793406,0.088786208,0.012738704,0.000203781,9.90E-05,0.000860867,0.107854503,0.114246422,0.009182957,0,0,0.001961421,0.056177534,0.078762028,0.008169793,0,0,Mitochondrion
P49722,0.022269202,0.029462522,0.01677275,0.015700575,0.019262072,0.064404001,0.015909797,0.032174011,0.022682048,0.023287323,0.024308942,0.080846125,0.014137532,0.049679738,0.032557118,0.023014424,0.009074918,0.120888704,0.020885468,0.03182764,0.019963561,0.026443147,0.019290062,0.058066113,0.016106073,0.036433674,0.023087897,0.033286597,0.014588864,0.083589103,Large Protein Complex
Q8R001,0.017003849,0.05572242,0.036153638,0.031038735,0.028795996,0.023486093,0.029003623,0.027590922,0.034237303,0.042901026,0.043110056,0.04196624,0.014305174,0.036179357,0.030419129,0.031778988,0.026398473,0.026090307,0.014408987,0.052509824,0.039526631,0.036518387,0.03855537,0.032898019,0.011573766,0.052664141,0.034951369,0.042533939,0.039358753,0.028319485,unknown
A0A0R4J041;Q8C3P7;G3UZP2;Q8C3P7-2;G5E922,0.044120127,0.046587341,0.011775025,0.015894329,0.022007178,0.022124446,0.041352847,0.032010546,0.019080093,0.04303023,0.048739542,0.026993341,0.03699096,0.015551724,0.005062732,0.037472676,0.032616427,0.024342179,0.055784783,0.087267625,0.027515296,0.035369911,0.051637886,0.014325015,0.046228641,0.069307321,0.017080799,0.030676917,0.029412269,0.009641793,unknown
A2AMC3;Q3UXG7;Q91ZW2;E9Q686;E9PZ15,0.031059954,0.023995519,0.042868442,0.060441978,0.038712671,0.011986107,0.004323313,0.019274769,0.055784843,0.077919146,0.039979935,0.010322035,0.006785409,0.02703897,0.044311436,0.057445766,0.038095414,0.016174632,0.00629003,0.023767513,0.048174326,0.050267329,0.049721246,0.003786741,0.003427535,0.033142248,0.039946553,0.088066082,0.040330134,0.006559922,ER
Q3TMP1,0.127825056,0.028907488,0.011080944,0.011890716,0.014601317,0.022160733,0.117844409,0.019496339,0.008812773,0.012126948,0.012548007,0.018852333,0.145424032,0.026192845,0.001904698,0.010527619,0.021327279,0.020556783,0.10971203,0.014128853,0.008413662,0.010516645,0.012961557,0.022803006,0.117116653,0.022338628,0.008488171,0.01086666,0.011239202,0.019334615,unknown
Q921N6,0.07089886,0.009030968,0.001563875,0.002805016,0.009485237,0.047624851,0.162366361,0.009983794,0.000506459,0.003523938,0.008346402,0.051399459,0.139279627,0.014157628,0.000456749,0.003111932,0.016685211,0.0451637,0.131402679,0.014915587,0.0010042,0.000738409,0.007711184,0.044158361,0.13281357,0.00273232,0.000336064,0.002421418,0.012718899,0.05265724,unknown
Q61164,0.171969623,0.007499157,0.002426152,0.000762333,0.000446586,0.000260485,0.229542074,0.009881903,0.002210444,0.00031707,3.93E-05,0.000276984,0.205927867,0.018243243,0.001033594,4.02E-05,3.40E-05,8.58E-05,0.172693058,0.002466238,2.20E-05,0.000325519,7.29E-05,0,0.154245471,0.01882874,0.00016097,0,0.000188331,0,unknown
Q80YR4;Q80YR4-3;Q80YR4-2,0.005530041,0.012430869,0.017204427,0.035669036,0.063267862,0.11551824,0.005897353,0.007575291,0.004449872,0.017893837,0.032313533,0.066919494,0.001154342,0.007947461,0.013577083,0.026687086,0.046811698,0.078282618,0.004755062,0.017659363,0.022020956,0.026368538,0.058822194,0.09311708,0.004168036,0.002443296,0.026716979,0.0588661,0.056775449,0.069156807,unknown
Q9CPQ3,0.002489696,0.055535778,0.089369451,0.008403689,0.000389511,0,0.006619855,0.074159968,0.106108536,0.022155139,0.000337214,0,0.007848449,0.058244156,0.098806674,0.019990073,0.00029722,0.000704202,0.006438127,0.096743817,0.084322232,0.024429194,0.00026892,0,0.010316393,0.09078445,0.110192152,0.02342817,0.001016413,0.000600521,Mitochondrion
O70152;A2BDX2,0.033358858,0.016101432,0.023508083,0.041475437,0.0436914,0.016740778,0.046305415,0.017813058,0.017997311,0.031056308,0.024981698,0.011925163,0.047064588,0.011714646,0.015005351,0.030802704,0.026051105,0.014464492,0.064496829,0.018353917,0.029626602,0.037731691,0.060553236,0.031411683,0.058776362,0.024450277,0.04090298,0.073040596,0.058407035,0.032190963,unknown
P24668;Q3UKQ5,0.004637247,0.012173989,0.016335288,0.038135323,0.06017225,0.052546267,0.003215082,0.015755227,0.019598776,0.036188263,0.057873638,0.050012385,0,0.01043705,0.019756704,0.039217022,0.058958042,0.05815488,0,0.012674275,0.024026443,0.0387573,0.080608261,0.084867454,0,0.011220201,0.022523422,0.037313231,0.063082022,0.071759958,Endosome
Q8K3P5-2,0.004572211,0.005834241,0.020246479,0.029848074,0.064681545,0.095865092,0.000572666,0.009826291,0.019065831,0.034385667,0.04933789,0.086948701,0.000808668,0.005813598,0.010682995,0.03161706,0.048491508,0.04864554,0.000688706,0.014942695,0.018482256,0.041394918,0.065716894,0.067576394,0.001019708,0.010524993,0.018032864,0.042115058,0.079699668,0.072561792,unknown
